constituency_code,candidate,party,constituency,state,runner_votes
S25159,MAMATA BANERJEE,All India Trinamool Congress,BHABANIPUR,WEST BENGAL,58812
S2574,RANA MANDAL,Bharatiya Janata Party,NOWDA,WEST BENGAL,58520
S25103,SUBODH ADHIKARY,All India Trinamool Congress,BIJPUR,WEST BENGAL,58456
S25125,MD. MUSA KAREMULLA,All India Secular Front,BASIRHAT UTTAR,WEST BENGAL,58233
S2524,AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,KURSEONG,WEST BENGAL,57871
S25139,ARABUL ISLAM,All India Secular Front,CANNING PURBA,WEST BENGAL,56733
S2560,TAPAS KUMAR CHAKRABORTY,Bharatiya Janata Party,SAGARDIGHI,WEST BENGAL,56521
S25170,GAUTAM CHOWDHURY,All India Trinamool Congress,HOWRAH UTTAR,WEST BENGAL,56289
S2523,BIJOY KUMAR RAI,Bharatiya Gorkha Prajatantrik Morcha,DARJEELING,WEST BENGAL,56019
S25142,GOURSUNDAR GHOSH,Bharatiya Janata Party,MAGRAHAT PASCHIM,WEST BENGAL,55331
S2552,NIBARAN GHOSH,Bharatiya Janata Party,MOTHABARI,WEST BENGAL,55209
S2555,SUNIL CHOWDHURI,Bharatiya Janata Party,FARAKKA,WEST BENGAL,54857
S2583,SOMNATH DUTTA,All India Trinamool Congress,KRISHNANAGAR UTTAR,WEST BENGAL,54850
S2556,MD NAJME ALAM,Indian National Congress,SAMSERGANJ,WEST BENGAL,54331
S25160,DEBASISH KUMAR (DEBA),All India Trinamool Congress,RASHBEHARI,WEST BENGAL,53258
S2553,ABDUL HANNAN,Indian National Congress,SUJAPUR,WEST BENGAL,52508
S2528,SANKAR ADHIKARI,Bharatiya Janata Party,CHOPRA,WEST BENGAL,51862
S2562,MAHAMUDAL HASAN,Communist Party of India (Marxist),BHAGAWANGOLA,WEST BENGAL,49590
