candidate,party,constituency_count
S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,1
SARPHUDIN,Independent,1
S.ARULRAJ,Independent,1
S.ARUMUGAM,Independent,1
SARVESWARAN,Party for the Rights of Other backward Classes,1
SASIKALA S,Naam Tamilar Katchi,1
SASIKUMAR. M,Independent,1
SASIKUMAR N,Independent,1
SASIKUMAR P,Independent,1
SASIKUMAR.P,Independent,1
SASIKUMAR.S,Independent,1
SASI REKA Y,Makkal Arasial Katchi,1
SASI REKA. Y,Makkal Arasial Katchi,1
SASIREKHA K,Naam Tamilar Katchi,1
SASIREKHA. M,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SATHAM USAIN M,Independent,1
SATHEESHKUMAR .M,Bahujan Samaj Party,1
SATHEESH. S,Independent,1
SATHEESKUMAR. K,Independent,1
SATHEESKUMAR P,Independent,1
SATHISH,Independent,1
SATHISH. A,Independent,1
SATHISH.B,Independent,1
SATHISH KUMAR B,Independent,1
SATHISHKUMAR.M,Independent,1
SATHISHKUMAR.N,Tamilaga Vettri Kazhagam,1
SATHISH KUMAR. S,Independent,1
SATHISH. P,Independent,1
SATHISH RAJU (ALIAS) K.P.R. SATHISH,Tamilaga Vettri Kazhagam,1
SATHISH. S,Independent,1
SATHISH.T,Independent,1
SATHIYA.B,Anna Makkal Katchi,1
SATHIYAM C.SARAVANAN,Independent,1
SATHIYAMOORTHY. S,Makkal Nala Kazhagam,1
SATHIYANARAYANAN B,All India Anna Dravida Munnetra Kazhagam,1
SATHIYARASU. R,Independent,1
SATHIYASEELAN. M,Independent,1
SATHIYASEELAN.M,Independent,1
SATHIYA. V,Naam Tamilar Katchi,1
SATHYA.A,Independent,1
SATHYA. B,Naam Tamilar Katchi,1
SATHYA. B.,Naam Tamilar Katchi,1
SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,1
SATHYADEVI. T.,Naam Tamilar Katchi,1
SATHYALAKSHMI. K,Naam Tamilar Katchi,1
SATHYA M,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
SATHYA. M,Tamilaga Vettri Kazhagam,1
SATHYARAMAN P,Independent,1
SATHYA.S.A.,Dravida Munnetra Kazhagam,1
SATHYA. V,Naadaalum Makkal Katchi,1
SAVEETHA.R,Tamizhaga Vaazhvurimai Katchi,1
S. BALACHANDAR,Independent,1
S. BALAJI,Tamil Nadu Ilangyar Katchi,1
S. BALA MURUGAN,Tamizhaga Vaazhvurimai Katchi,1
S.BALASUBRAMANIAN,Independent,1
S.BALU,Dravida Munnetra Kazhagam,1
S.BALUSAMY,Puthiya Tamilagam,1
S. BENJAMIN MOSES,Independent,1
S.BOOPATHI,Independent,1
S. CHARLES,Bahujan Samaj Party,1
S.DELHI BABU,Independent,1
S. DHANA RAJ,Independent,1
S.DHARMARAJ,Tamilaga Makkal Nala Katchi,1
S.DHAYALAN,Thamizhaga Munnetra Congress,1
SDK SANKAR,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
S. DURAIRAJ,Independent,1
S. DURAIRAJ,Dravida Munnetra Kazhagam,1
SEELAN,Naam Tamilar Katchi,1
SEEMAN,Naam Tamilar Katchi,1
SEENIVASAN. L,Independent,1
SEENIVASAN. P,Independent,1
SEENIVASAN. S,Independent,1
SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,1
SEETHA LAKSHMI. D,Independent,1
SEETHALAKSHMI.M.K,Naam Tamilar Katchi,1
SEETHA.R,Independent,1
SEETHA SIVANANDAM. P,Naam Tamilar Katchi,1
SEKAR C,Independent,1
SEKAR.C,Independent,1
SEKAR C V,All India Anna Dravida Munnetra Kazhagam,1
SEKAR. K,Bahujan Samaj Party,1
SEKAR. N,All India Youth Development Party,1
SEKAR NAYAKAR I M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
SEKAR S,All India Anna Dravida Munnetra Kazhagam,1
SEKAR V,Independent,1
SELLAMMAL. V.M.,Bahujan Samaj Party,1
SELLUR K RAJU,All India Anna Dravida Munnetra Kazhagam,1
SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,1
SELVADHAYANITHI. M,Independent,1
SELVAKANNAN. L.,Independent,1
SELVAKOTTI. E,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SELVAKUMAR. A,Independent,1
SELVAKUMAR K,Dravida Munnetra Kazhagam,1
SELVAKUMAR. K,All India Anna Dravida Munnetra Kazhagam,1
SELVAKUMAR.R,Independent,1
SELVAKUMAR S,Independent,1
SELVAKUMAR SINGH,Bahujan Dravida Party,1
SELVAM ( ALIAS ) HARINARAYANAN,Independent,1
SELVAM ( ALIAS ) VENKATESH,Independent,1
SELVAM. D,Tamilaga Vettri Kazhagam,1
SELVAM .G,Independent,1
SELVAM K,Naam Tamilar Katchi,1
SELVAM K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SELVAM. K,Independent,1
SELVAM. K,Tamilaga Vettri Kazhagam,1
SELVAM P,Tamilaga Vettri Kazhagam,1
SELVAM.P B.A. B.L.,Republican Party of India (A),1
SELVAM.R,Independent,1
SELVAMURUGAN.P,Independent,1
SELVAMUTHU. S,Independent,1
SELVAM. V.,Pattali Makkal Katchi,1
SELVAM. V.,Independent,1
SELVA.NANMAARAN,Naam Tamilar Katchi,1
SELVAN.T,Independent,1
SELVARAJ,Independent,1
SELVARAJ. A,Puthiya Tamilagam,1
SELVARAJ .C,Independent,1
SELVARAJ M,Independent,1
SELVARAJ. M,Independent,1
SELVARAJ.M,Independent,1
SELVARAJ P,Independent,1
SELVARAJ R.,Independent,1
SELVARAJU. M,Independent,1
SELVARAJ. V,Independent,1
SELVARANI. S,Independent,1
SELVARASU S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
SELVI.A,Independent,1
SELVI STEFFI. V. M,Independent,1
SEMMALAI T,Independent,1
S.EMMANUVEL,Independent,1
SENBAGAKUMAR. L,Independent,1
SENDHIL KUMAR.G,All India Anna Dravida Munnetra Kazhagam,1
SENDRAYAN. G.,Independent,1
SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,1
SENKODI VIJAYALAKSHMI,Independent,1
SENTHAMILSELVAN M,Naadaalum Makkal Katchi,1
SENTHAMILSELVI S,Independent,1
SENTHAMIZHAN. G,Amma Makkal Munnettra Kazagam,1
SENTHIKUMAR V N,Independent,1
SENTHILKUMAR. G,Independent,1
SENTHILKUMAR. G.,Independent,1
SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,1
SENTHILKUMAR. K,Independent,1
SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,1
SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,1
SENTHILKUMAR N,Independent,1
SENTHILKUMAR.R,Tamil Nadu Ilangyar Katchi,1
SENTHILKUMAR. R.S.,Tamizhaga Vaazhvurimai Katchi,1
SENTHILKUMAR. S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
SENTHILKUMAR. S,Independent,1
SENTHILNATHAN .B,Independent,1
SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,1
SENTHIL P,Independent,1
SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,1
SENTHIL. P.M,Independent,1
SENTHILSELVAN.R,Dravida Munnetra Kazhagam,1
SETHU. P,Independent,1
SETHUPATHY. S,All India Anna Dravida Munnetra Kazhagam,1
SETHURAMALINGAM.S,Independent,1
SETHURAMAN. A.,Puthiya Tamilagam,1
SETHURAMA SASTHRI. G,Independent,1
SETTU C,Tamizhaga Vaazhvurimai Katchi,1
SETTUMUTHU. V,Bahujan Samaj Party,1
SEVVANTHA G K,Anna Makkal Katchi,1
SEZHIYAN K,Independent,1
S GANESH,Independent,1
S.GIRIDHARA PRASAD,Party for the Rights of Other backward Classes,1
S. GNANASEKARAN,Independent,1
S.GOKULA INDIRA,All India Anna Dravida Munnetra Kazhagam,1
S.GOPALAKRISHNAN,Naam Tamilar Katchi,1
S.GOVINDHAN,Independent,1
SHAHIN FATHIMA. A,Tamizhaga Vaazhvurimai Katchi,1
SHAHUL HAMEED,Tamilaga Vettri Kazhagam,1
SHAHUL HAMEED,Independent,1
SHAHUL HAMEED . N,Independent,1
SHAIK ABDUL KADER. P.S.J,Independent,1
SHAILAJA,Tamizhaga Vaazhvurimai Katchi,1
SHAJAGAN. A,Independent,1
SHAJAHAN,Independent,1
SHAJAHAN.S,Tamizhaga Vaazhvurimai Katchi,1
SHANGAMITHTHIRAN. A,Independent,1
SHANKARGANESAN.S,Independent,1
SHANKAR.V,Independent,1
SHANMUGACHANDRA VELAVAN. C.C,Independent,1
SHANMUGA D,Independent,1
SHANMUGAM,Independent,1
SHANMUGAM. A,Dravida Munnetra Kazhagam,1
SHANMUGAM.A,Thamizhaka Padaippalar Makkal Katchi,1
SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,1
SHANMUGAM.G,Independent,1
SHANMUGAM M.,Independent,1
SHANMUGAM. M,Independent,1
SHANMUGAM P,Independent,1
SHANMUGAM.P,Independent,1
SHANMUGAM R,Independent,1
SHANMUGAM. V.T,Independent,1
SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,1
SHANMUGAPRIYA.M,Naam Tamilar Katchi,1
SHANMUGARAJA. D,Independent,1
SHANMUGAVELU. A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,1
SHANTHALAKSHMI. K.,Naam Tamilar Katchi,1
SHANTHI. B,Independent,1
SHANTHOSH KRISHNAN. S,Tamizhaga Vaazhvurimai Katchi,1
SHARAVANAN A K,Tamizhaga Vaazhvurimai Katchi,1
SHASHI KIRAN .K .N,Independent,1
SHEIK BAREETH.B,Tamizhaga Vaazhvurimai Katchi,1
SHEIK DAVOOD.A.M,Independent,1
SHETTU.S,Independent,1
SHIBU AMOSE,Independent,1
SHIYAMALA. M,Independent,1
SHUNMUGASUNDARAM. S,Naam Tamilar Katchi,1
SIDHARTHAN.S,Desiya Makkal Sakthi Katchi,1
SILAMBARASAN,Naam Tamilar Katchi,1
SILAMBARASAN. C,Independent,1
SILAMBARASAN J,Independent,1
SILAMBARASAN. P,Independent,1
S.ILAYARAJA,Independent,1
S.IMRANKHAN,Independent,1
SINGARAVELAN VISWANATHAN,Vishwa Tamil Kazhagam,1
S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,1
SINORA P S ASHOK,Tamilaga Vettri Kazhagam,1
SINTHANAI SELVAN,Viduthalai Chiruthaigal Katchi,1
S.IRUTHYARAJ,Tamizhaga Vaazhvurimai Katchi,1
SIVABALAN.M,Dravida Munnetra Kazhagam,1
SIVAGAMI. G.,Tamilar Makkal Katchi,1
SIVAGNANASAM,Desiya Makkal Sakthi Katchi,1
SIVAJI PERUMAL,Bahujan Samaj Party,1
SIVAJOTHI .M,Naam Tamilar Katchi,1
SIVAKUMAR A,Independent,1
SIVAKUMAR. A,Independent,1
SIVAKUMAR.A,Desiya Makkal Sakthi Katchi,1
SIVAKUMAR C,Pattali Makkal Katchi,1
SIVAKUMAR M,Tamilaga Vettri Kazhagam,1
SIVAKUMAR. N,Independent,1
SIVAKUMAR R,Independent,1
SIVAKUMAR S,Independent,1
SIVAKUMAR.S,Bahujan Samaj Party,1
SIVAKUMAR.S,Independent,1
SIVAKUMAR. T,Bharatiya Janata Party,1
SIVAKUMAR. V,Independent,1
SIVAKUMAR.V,Tamil Telugu National Party,1
SIVAKUMAR V C,Bahujan Samaj Party,1
SIVALINGAM ASHOK,Independent,1
SIVALINGAM.C,Naam Indiar Party,1
SIVALINGAM. T,Independent,1
SIVAM. R.,Independent,1
SIVAN. A.,Independent,1
SIVAN.C,Independent,1
SIVAN. M.,Tamilaga Vettri Kazhagam,1
SIVAPERUMAL V,Independent,1
SIVAPRAKASAM.V,Bahujan Samaj Party,1
SIVAPRAKASAM.V,Independent,1
SIVARAJ,Independent,1
SIVARAJR.,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
SIVARAMAN.C,Independent,1
SIVARAMAN.S,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
SIVARAMAN. T,Tamizhaga Vaazhvurimai Katchi,1
SIVA S,Independent,1
SIVASAKTHI. M,Naam Tamilar Katchi,1
SIVASANKARAN.K,Independent,1
SIVASANKARAN. P,Independent,1
SIVASANKAR. S.S,Dravida Munnetra Kazhagam,1
SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,1
S. JANARTHANAN,Independent,1
S JAYAKALPANA,Republican Party of India (Athawale),1
S.JAYAPRAKASH,Independent,1
S JAYAVEL,Independent,1
S. JEYARAM,Independent,1
S. JOSEPH,Independent,1
S. KARIKALA CHOLAN,Independent,1
S. KARTHIGAISELVAN,Bahujan Samaj Party,1
S. KARTHIK,Independent,1
S.KARTHIK,Independent,1
S.KARUNAKARAN,All India Anna Dravida Munnetra Kazhagam,1
S.KAVITHA,Independent,1
S.KIRTHIKA,Bharatiya Janata Party,1
S  KOWSALYA,Naam Tamilar Katchi,1
S.LAKSHMANATHAN,Independent,1
S.MADHAN KUMAR,Independent,1
S. MADHAVAN,Independent,1
S MALAIYANDI,Akila Inthiya Makkal Marumalarchi Kazhakam,1
S. MALATHI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
S.MANOGARAN,Kamarajar Deseeya Congress,1
S. MARIAPPAN,Bahujan Samaj Party,1
S.MARIYAPPAN,Independent,1
S. MEENAKSHI SUNDARAM,Tamizhaga Murpokku Makkal Katchi,1
S. MESHAK,Independent,1
S. MICHAEL,Independent,1
S.M.IRSHAD,Tamizhaga Vaazhvurimai Katchi,1
S.M. MUTHU KESAVAN,Naam Tamilar Katchi,1
S.M.NASAR,Dravida Munnetra Kazhagam,1
S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,1
SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,1
S.MUNISAMY,Anti Corruption Dynamic Party,1
S. MURALI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
S. MURUGABOOPATHY,Communist Party of India (Marxist-Leninist) (Liberation),1
S. MURUGANANTHAM,Independent,1
S. MUTHUSAMY,Dravida Munnetra Kazhagam,1
S .MUTHUSELVAM,Independent,1
S. MUTHUSELVAN,Independent,1
S. MUTHUVEL,Bahujan Dravida Party,1
S. NATARAJAN,Independent,1
S. NIYAZ AHAMED,Tamizhaga Vaazhvurimai Katchi,1
SOFIA. S,Naam Tamilar Katchi,1
SOLOMON  J.R,Independent,1
SONIAGANDHI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
SOUNDARA PANDIAN LUDER SETH,Naam Tamilar Katchi,1
SOUNDARARAJAN. N,Naam Indiar Party,1
SOUNDARA RAJAN. R,Independent,1
SOUNDARYAN. K,Independent,1
SOUNDRAPANDIAN. S,Ganasangam Party of India,1
SOWMIYA ANBUMANI,Pattali Makkal Katchi,1
SOWMIYA. R,Independent,1
S.PALANISWAMY,Independent,1
S.PANDI,All India Anna Dravida Munnetra Kazhagam,1
S. PANNEER SELVAM,Independent,1
S. PARTHIBAN,Independent,1
S.PARTHIBAN,Democratic National Allegiance,1
S. PICHAMUTHU,Independent,1
SP MAHENDRAN,Independent,1
S.PRABAKARAN,Tamilaga Vettri Kazhagam,1
S.PREM,Independent,1
S.P.SHANMUGAM,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
S.PUNNIYAKOTTI,Tamizhaga Vaazhvurimai Katchi,1
S.PUSHNA KUMAR,Bahujan Samaj Party,1
S.P.VELUMANI,All India Anna Dravida Munnetra Kazhagam,1
S.RAHAMATHULLA,Tamizhaga Vaazhvurimai Katchi,1
S.RAJAGOPAL,Tamilaga Vettri Kazhagam,1
S.RAJAMOHAN,Independent,1
S. RAJESH KUMAR,Independent,1
S.RAJKAMAL,Independent,1
S. RAJU,Independent,1
S. RAMAN,Independent,1
S. RAMASAMY,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
S. RAMESH,Independent,1
S. RANGARAJ,Independent,1
S. RAVI,All India Anna Dravida Munnetra Kazhagam,1
SREENIVASAN. C,All India Anna Dravida Munnetra Kazhagam,1
SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,1
SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,1
SRIDHAR G,Independent,1
SRIDHAR. M,Independent,1
SRIKANTH M.V.,Naam Indiar Party,1
SRIKANTHU. S,Bahujan Samaj Party,1
SRIKRISHNAKUMAR.K,Thamizhaka Padaippalar Makkal Katchi,1
SRINATH,Independent,1
SRINATH,Tamilaga Vettri Kazhagam,1
SRINIVASAN.A,Independent,1
SRINIVASAN. K,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
SRINIVASAN.K,Independent,1
SRINIVASAN.M,Independent,1
SRINIVASAN.P.S,Dravida Munnetra Kazhagam,1
SRINIVASAN.R,Independent,1
SRINIVASAN V,Independent,1
SRINIVASH,Independent,1
SRISABARINATHAN,Independent,1
SRIVIDYA. G,Naam Tamilar Katchi,1
S R K APPU,All India Anna Dravida Munnetra Kazhagam,1
SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,1
S.ROYAPPAN,Tamizhaga Vaazhvurimai Katchi,1
S. SAMPATHKUMAR,Independent,1
S.SARASU,Naam Tamilar Katchi,1
S. SARAVANAN,Bahujan Samaj Party,1
S.SARAVANAN,All India Anna Dravida Munnetra Kazhagam,1
S.SARAVANAN,Independent,1
S. SASIKUMAR,Independent,1
S.SATHEESH,Independent,1
S SATHISH KUMAR,Independent,1
S.SATHIYARAJ,Independent,1
S. SEENUVASAN,Tamilaga Vettri Kazhagam,1
S. SELVAM,Naam Tamilar Katchi,1
S.SELVAM (A) CHELLA,Tamizhaga Vaazhvurimai Katchi,1
S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,1
S.SELVAMOORTHY,Independent,1
S. SELVARAJ,Independent,1
S. SENTHAMIZHAN,Independent,1
S. SENTHILKUMAR,Samaniya Makkal Nala Katchi,1
S. SENTHILKUMAR,Independent,1
S.SENTHILKUMAR,Independent,1
S.SENTHILKUMAR,Vanchit Bahujan Aaghadi,1
S.SENTHILNATHAN,Dravida Munnetra Kazhagam,1
S.SHANKAR,Naam Tamilar Katchi,1
S SHANMUGAVEL,Independent,1
S. SHARAN,Independent,1
S. SHUNMUGA SUNDARAM,Naam Indiar Party,1
S.SIVAKUMAR,Independent,1
S.SOUNDARYA,Naam Tamilar Katchi,1
S.S.SUNDHARAM,Rashtriya Samaj Dal (R),1
S.SUDHARSANAM,Dravida Munnetra Kazhagam,1
S.SUNDARAMOORTHY PANDIYAR,Independent,1
S SURESH KASINI VENTHAN,All India Forward Bloc,1
S. SURESHKUMAR,Makkalatchi Katchi,1
STALIN D,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
STALIN MA KA,Independent,1
STALIN R,Independent,1
STALIN.R,Naam Tamilar Katchi,1
STALIN V,Bahujan Samaj Party,1
S.TAMILCHELVI,Naam Tamilar Katchi,1
STEPHENRAJ. L,Independent,1
S.THAMARAI KANNAN,Party for the Rights of Other backward Classes,1
S.THANDAVAMOORTHY,Naam Tamilar Katchi,1
S.THANGADURAI,Naam Indiar Party,1
S. THANGAPALAM,Independent,1
S. THIRUKKUMARAN,Naam Tamilar Katchi,1
S.THIRUMALAI KUMAR,Puthiya Tamilagam,1
S.THIRUMURUGAN,Naam Tamilar Katchi,1
S. THIYAGARAJAN,Tamilaga Vettri Kazhagam,1
STUDENTS FRIEND MURUGAN. M,Independent,1
SUBAKARAN.A,Independent,1
SUBARAMANIAN.N,Independent,1
SUBASHINI,Bahujan Samaj Party,1
SUBASH MALAYALAM. T,Independent,1
SUBASH.R,Naam Tamilar Katchi,1
SUBBAIAH. R,Independent,1
SUBBIAH.A,Puthiya Tamilagam,1
SUBBULAKSHMI. R,Independent,1
SUBBULAKSHMI. S,Naam Indiar Party,1
SUBBURAJ K,Independent,1
SUBHA. A,Independent,1
SUBHA CHANDRASEKARAN A,Naam Tamilar Katchi,1
SUBRAMANIAN. E.,Independent,1
SUBRAMANIAN. M,Puthiya Makkal Tamil Desam Katchi,1
SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,1
SUBRAMANIAN.P,Independent,1
SUBRAMANIAN. R,Independent,1
SUBRAMANIAN.S,Dravida Munnetra Kazhagam,1
SUBRAMANI.C.K,Independent,1
SUBRAMANI K,Independent,1
SUBRAMANI. P,Independent,1
SUBRAMANI.P,Bahujan Samaj Party,1
SUBRAMANIYAM L R,Independent,1
SUDALAIMANI. A,Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,1
SUDANDIRADOSS.M,Independent,1
SUDAROLI S.MURUGAN YADHAV B.COM,Independent,1
SUDARSANAM,Independent,1
SUDHAGAR.R,Independent,1
SUDHAKAR.K,Tamizhaga Vaazhvurimai Katchi,1
SUDHAKAR M,Tamizhaga Vaazhvurimai Katchi,1
SUDHAKAR M,Tamilaga Vettri Kazhagam,1
SUDHAKAR.V,All India Anna Dravida Munnetra Kazhagam,1
SUDHA M,Bahujan Samaj Party,1
SUDHARSAN K,Independent,1
SUDHA. S,Independent,1
SUGANTHI,Naam Tamilar Katchi,1
SUGANYA. J,Naam Tamilar Katchi,1
SUGANYA. S,Bahujan Samaj Party,1
SUJATHA. V,Tamilaga Vettri Kazhagam,1
SUKUMAR .S,Thamizhaka Padaippalar Makkal Katchi,1
SUMAN. M,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
SUMAN SINGH.R.,Tamizhaga Vaazhvurimai Katchi,1
SUMATHI.G,Independent,1
SUMATHI. P,Independent,1
SUMATHI . S,Naam Tamilar Katchi,1
SUNDAR . A,Independent,1
SUNDARAJAN.S,Independent,1
SUNDARAMAHALINGAM. A,Independent,1
SUNDARAMMAL,Makkal Arasial Katchi,1
SUNDARAMOORTHI. S,Independent,1
SUNDARAMOORTHY. M.,Independent,1
SUNDARAM. R,Independent,1
SUNDARAPANDIYARAJA,Independent,1
SUNDARARAJ. L,Communist Party of India (Marxist),1
SUNDARA RAJU.A,Independent,1
SUNDAR  C,All India Anna Dravida Munnetra Kazhagam,1
SUNDAR G,Thamizh Desiya Munnetra Kazhagam,1
SUNDAR.K,Dravida Munnetra Kazhagam,1
SUNILANAND,Tamilaga Vettri Kazhagam,1
SURENDAR. R,Tamizhaga Vaazhvurimai Katchi,1
SURENTHAR. K,Puthiya Tamilagam,1
SURESH. B,Independent,1
SURESHBABU.T.M,Tamil Telugu National Party,1
SURESH C V,Independent,1
SURESH. G,Tamilaga Vettri Kazhagam,1
SURESH K,Bahujan Samaj Party,1
SURESH K,Independent,1
SURESHKANNAN P,Ganasangam Party of India,1
SURESHKUMAR. K,Independent,1
SURESH KUMAR.R,Naam Tamilar Katchi,1
SURESH KUMAR S,Indhia Kudiarasu Katchi,1
SURESHKUMAR. S,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
SURESHKUMAR. S,Naam Indiar Party,1
SURESH. L,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
SURESH M R,Independent,1
SURESH P,Tamilaga Vettri Kazhagam,1
SURESH. S,Tamizhaga Vaazhvurimai Katchi,1
SURIYAKUMAR. J,Independent,1
SURIYAKUMAR.K,Independent,1
SURIYANUR. A. CHANDRAN,Dravida Munnetra Kazhagam,1
SURYA PRAKASH K.P,Indian National Congress,1
SURYAPRAKASH.R,Independent,1
SURYAPRAKASH.S,Independent,1
SURYA. Y,Republican Party of India (Athawale),1
SUYAMBULINGAM A,Independent,1
SUYAMBULINGAM P,Independent,1
S.VANMEGANADHAN,Independent,1
S VEERABATHRAN,Independent,1
S.VELU,All India Anna Dravida Munnetra Kazhagam,1
S.VENKATESHWARAN,Anti Corruption Dynamic Party,1
S. VETRI THAMIZHAN,Naam Tamilar Katchi,1
S.VETRI VEL,Independent,1
S. VIJAYAKUMAR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,1
S VINESH KUMAR,Independent,1
S. VINOTH KUMAR,Independent,1
S. VISHNU VARTHAN,Independent,1
SWATHILAKSHMI SEKAR,Naam Tamilar Katchi,1
SYEDALI. A,Our Mahathma National Party,1
SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,1
SYED FAROOQ BASHA SSB,Indian Union Muslim League,1
SYED IBRAHIM. M.,Tamizhaga Vaazhvurimai Katchi,1
SYED MUKRAM. R. N,Tamizhaga Vaazhvurimai Katchi,1
SYED SULTHAN SAMSUDEEN,All India Anna Dravida Munnetra Kazhagam,1
SYEED LAYAK BHASHA,Independent,1
S.Y. SYED YUSUF,Republican Party of India (Athawale),1
TAMILAN PRASANNA,Dravida Munnetra Kazhagam,1
TAMILARASAN. D,Independent,1
TAMILARASAN. M,Independent,1
TAMILARASAN. M.,Independent,1
TAMILARASAN. T,Independent,1
TAMILARASI.A,Dravida Munnetra Kazhagam,1
TAMILAZHAGAN M,Independent,1
TAMILMANI,Independent,1
TAMILMANNAN. D,Samaniya Makkal Nala Katchi,1
TAMILRAJ. K,Independent,1
TAMILSELVAM R,Tamizhaga Vaazhvurimai Katchi,1
TAMILSELVAN,Independent,1
TAMILSELVAN C,Independent,1
TAMILSELVAN D,Independent,1
TAMILSELVAN. M,Puthiya Tamilagam,1
TAMILSELVAN. M,Naam Tamilar Katchi,1
TAMILSELVI,Puthiya Tamilagam,1
TAMILSELVI. S.,Independent,1
TAMILVENTHAN.R,Independent,1
T.AMIRTHA KANTHAN,Naam Indiar Party,1
T.AMIRTHALINGAM,Independent,1
TAMIZHARASAN M,Independent,1
T.ARULMURUGAN,Independent,1
T.A.UMAR,Tamizhaga Vaazhvurimai Katchi,1
T.DHIVAKARAN,Independent,1
T. GANGAI ULAGANATHAN,Independent,1
T.GOVINDAN,Independent,1
THAARIKHA SALMAN,Naam Tamilar Katchi,1
THACHAI GANESARAJA,All India Anna Dravida Munnetra Kazhagam,1
THAHIRA,Tamilaga Vettri Kazhagam,1
THAHIR HUSSAIN,Independent,1
THALABATHI MURUGAN. M.,Independent,1
THALAPATHY MURUGESAN,Dravida Munnetra Kazhagam,1
THALAVAI SUNDARAM. N,All India Anna Dravida Munnetra Kazhagam,1
THAMARAI SELVI. S,Tamizhaga Vaazhvurimai Katchi,1
THAMBIRAJ.E,Naam Indiar Party,1
THAMILALAGAN. A,Independent,1
THAMIMUN ANSARI. M,Dravida Munnetra Kazhagam,1
THAMIZH,Naam Tamilar Katchi,1
THAMIZHSELVAN. R,All India Anna Dravida Munnetra Kazhagam,1
THAMIZHVENGAI KA,Desiya Makkal Sakthi Katchi,1
THANAPANDIAN. T.,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
THANASEKAR. R,Independent,1
THANGADURAI. N,Independent,1
THANGA DURAI. P,Puthiya Makkal Tamil Desam Katchi,1
THANGAMANI S,Independent,1
THANGA MARIAPPAN. J,Independent,1
THANGAM THENARASU,Dravida Munnetra Kazhagam,1
THANGAPANDIAN. S,Dravida Munnetra Kazhagam,1
THANGAPANDI. B,Independent,1
THANGAPANDI.P,Tamizhaga Vaazhvurimai Katchi,1
THANGAPANDI SR,Tamilaga Vettri Kazhagam,1
THANGARAJ P,Independent,1
THANGARAJ. S,Bharatiya Janata Party,1
THANGARASU M,Independent,1
THANGARASU N,Independent,1
THANGA. SHANMUGA SUNDARAM,Naadaalum Makkal Katchi,1
THANGAVEL. K,Independent,1
THANGAVELRAJ. S,Independent,1
THANIGAIMALAI R,Anti Corruption Dynamic Party,1
THANIKASALAM. B,Independent,1
THANITHANGAM,Independent,1
